population,task,split_seed,fold,nominal_dose,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,candidate_min,candidate_max,candidate_size,intervention_block_size,removed_control_size,n_train,n_test,subject_coverage,row_overlap_with_test
evaluation_population,valence,20260829,s4_r1,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r1,0.25,0.2230879634123706,0.18009797034426878,-0.19444444444444442,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r1,0.5,0.5022241199367941,0.39526964674265996,-0.19444444444444442,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r1,0.75,0.7240176086853187,0.5662388159914029,-0.19444444444444448,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r1,1.0,1.0,0.778979417334536,-0.19444444444444442,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r0,0.0,0.0,0.03500209820680635,0.0,0.03500209820680635,0.6434709124204981,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r0,0.25,0.23166350952509532,0.1759621191441234,0.0,0.03500209820680635,0.6434709124204981,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r0,0.5,0.5120998478293727,0.34659888537455674,-0.16826923076923078,0.03500209820680635,0.6434709124204981,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r0,0.75,0.6072466700559447,0.40449275947096,0.13461538461538458,0.03500209820680635,0.6434709124204981,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r0,1.0,1.0,0.6434709124204981,0.13461538461538458,0.03500209820680635,0.6434709124204981,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r1,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.5662388159914029,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r1,0.25,0.24701685211079683,0.1459930036879852,0.0,0.008130957294339092,0.5662388159914029,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r1,0.5,0.5083921629056706,0.29186861871199177,0.10294117647058831,0.008130957294339092,0.5662388159914029,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r1,0.75,0.7314784767969561,0.4163748436624781,0.05147058823529416,0.008130957294339092,0.5662388159914029,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s0_r1,1.0,1.0,0.5662388159914029,0.05147058823529416,0.008130957294339092,0.5662388159914029,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r0,0.25,0.2230879634123706,0.18009797034426878,-0.09722222222222221,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r0,0.5,0.5022241199367941,0.39526964674265996,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r0,0.75,0.6492789696411018,0.5086266511786681,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r0,1.0,1.0,0.778979417334536,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r1,0.0,0.0,0.008130957294339092,0.09722222222222221,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r1,0.25,0.2230879634123706,0.18009797034426878,-0.09722222222222221,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r1,0.5,0.5022241199367941,0.39526964674265996,-0.09722222222222221,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r1,0.75,0.6681374747586278,0.5231637008071733,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s1_r1,1.0,1.0,0.778979417334536,0.0,0.008130957294339092,0.778979417334536,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r0,0.0,0.0,0.03500209820680635,0.0,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r0,0.25,0.22768721630869945,0.1759621191441234,0.23557692307692313,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r0,0.5,0.5033101201971893,0.34659888537455674,0.23557692307692313,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r0,0.75,0.6583624808381389,0.4425910291438229,0.23557692307692313,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r0,1.0,1.0,0.6540971147061199,0.23557692307692313,0.03500209820680635,0.6540971147061199,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r1,0.0,0.0,0.07330911319957338,0.30625,0.07330911319957338,0.8327496873249557,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r1,0.25,0.2435596420527723,0.2582781875939034,0.30625,0.07330911319957338,0.8327496873249557,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r1,0.5,0.506631046000605,0.4580652856440159,0.21875,0.07330911319957338,0.8327496873249557,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r1,0.75,0.730000459838235,0.6277010815309156,0.21875,0.07330911319957338,0.8327496873249557,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260911,s2_r1,1.0,1.0,0.8327496873249557,0.30625,0.07330911319957338,0.8327496873249557,21,10,10,168,21,1.0,0
